Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
TIERRA DEL FUEGO,Ushuaia,Laguna Escondida,,,,,SI,SI,,,SI
TIERRA DEL FUEGO,Ushuaia,Ushuaia,SI,SI,SI,SI,SI,SI,SI,SI,SI
TUCUMAN,Burruyacu,7 de Abril,,,,,,,,SI,SI
TUCUMAN,Burruyacu,Barrio San Jorge,,,,,SI,,,,
TUCUMAN,Burruyacu,El Chañar,,,,,SI,SI,SI,,
TUCUMAN,Burruyacu,El Naranjo,,,,,,,,,
TUCUMAN,Burruyacu,Garmendia,,,,,SI,,SI,SI,
TUCUMAN,Burruyacu,La Ramada,,,,,SI,SI,SI,,
TUCUMAN,Burruyacu,Macomitas,,,,,SI,SI,,,
TUCUMAN,Burruyacu,Piedrabuena,,,,,SI,SI,,SI,
TUCUMAN,Burruyacu,Villa Benjamin Araoz,,,,,SI,,SI,,
SAN LUIS,La Capital,Los Algarrobos Blancos,,,,,SI,SI,,,
SAN LUIS,La Capital,Mosmota,,,,,,,,,
SAN LUIS,La Capital,Potrero de los Funes,,,,,SI,SI,SI,SI,
SAN LUIS,La Capital,Pozo Del Carril,,,,,,,,,
SAN LUIS,La Capital,Salinas del Bebedero,,,,,,,SI,SI,
SAN LUIS,La Capital,San Jeronimo,,,,,,,,SI,
SAN LUIS,La Capital,San Luis,SI,SI,SI,SI,SI,SI,SI,SI,SI
SAN LUIS,La Capital,San Roque,,,,,SI,SI,,,
SAN LUIS,La Capital,Santa Rosa,,,,,,,,,
SAN LUIS,La Capital,Varela,,,,,,,,SI,
SAN LUIS,La Capital,Zanjitas,,,,,,,,SI,
SAN LUIS,Libertador Grl. San Martin,Barranca Alta,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,Cabeza De Novillo,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,Casa De Los Tigres,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,El Estanquito,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,El Paraguay,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,El Paraiso,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,El Puesto,,,,,,,,SI,
SAN LUIS,Libertador Grl. San Martin,La Cocha,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,La Ramada,,,,,,,,SI,
SAN LUIS,Libertador Grl. San Martin,La Totora,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,La Vertiente,,,,,,,,SI,SI
SAN LUIS,Libertador Grl. San Martin,Las Aguadas,,,,,,,,SI,
SAN LUIS,Libertador Grl. San Martin,Paso Grande,,,,SI,,,SI,SI,
SAN LUIS,Libertador Grl. San Martin,Planta De Sandia,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,Potrerillo,,,,,,,,SI,
SAN LUIS,Libertador Grl. San Martin,Puerta Colorada,,,,,,,,,
